,Year,Approving
0,1969,58.7
1,1970,55.5
2,1971,47.42857142857143
3,1972,55.7
4,1973,41.73684210526316
5,1974,34.28
6,1975,42.55
7,1976,47.875
8,1977,61.958333333333336
9,1978,44.833333333333336
10,1979,36.34615384615385
11,1980,40.23529411764706
12,1981,56.8235294117647
13,1982,43.36842105263158
14,1983,43.25
15,1984,53.96
16,1985,60.8
17,1986,62.05882352941177
18,1987,48.95454545454545
19,1988,53.125
20,1989,62.111111111111114
21,1990,65.23255813953489
22,1991,73.30434782608695
23,1992,38.78048780487805
24,1993,48.32142857142857
25,1994,46.13793103448276
26,1995,46.857142857142854
27,1996,53.77272727272727
28,1997,57.45
29,1998,63.1
30,1999,61.35897435897436
31,2000,59.82142857142857
32,2001,65.97142857142858
33,2002,71.775
34,2003,60.333333333333336
35,2004,50.34285714285714
36,2005,45.3421052631579
37,2006,37.9
38,2007,33.53846153846154
39,2008,29.964285714285715
40,2009,57.5531914893617
41,2010,46.85919540229885
42,2011,44.67908309455587
43,2012,47.566473988439306
44,2013,46.484330484330485
45,2014,42.36494252873563
46,2015,46.18857142857143
47,2016,51.44285714285714
48,2017,43.07575757575758
49,2018,40.390243902439025
